	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	22	23	24	25	27	28	29	31	42	43	44	45	46	48	49	50	51	53	54	56	57	58	61	62	71	72	81	82	83	84	90	91	92	93	95	96	97	99	100	102	103	104	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	142	143	144	145	146	147	148	149	150	151	152	153	155	156	157	158	159	161	166	167	171	172	173	174	177	178	179	180	181	182	183	184	185
Rikenellaceae	0	2	2	0	0	0	0	0	0	0	0	0	0	0	2	2	3	0	4	3	2	4	2	3	5	4	3	4	2	3	6	5	4	6	10	4	3	13	6	3	9	4	9	3	9	3	8	4	8	2	3	3	4	10	5	4	2	9	6	5	11	7	3	4	0	4	5	6	4	3	6	7	66	3	3	41	5	2	5	8	3	2	5	3	9	2	8	4	7	4	2	6	6	3	2	5	4	4	7	4	3	2	3	3	10	3	4	4	5	4	4	3	4	0	2	4	13	4	4	4	6	2	3	4
Coriobacteriaceae	6	0	0	0	0	2	2	0	0	0	2	0	0	0	0	0	0	0	0	0	5	2	0	3	5	4	3	4	0	0	2	2	2	2	2	2	2	4	2	25	7	5	2	2	3	3	6	17	3	5	2	2	5	4	6	3	0	2	3	2	4	4	3	2	2	3	2	2	15	3	7	4	16	3	0	8	14	15	13	2	2	5	3	13	3	10	5	6	3	5	2	4	11	16	14	17	2	7	7	11	2	80	3	2	12	9	6	5	8	15	2	5	3	2	2	6	12	16	3	5	2	4	8	4
Amoebophilaceae	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chlorobiaceae	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Clostridiales Family XI. Incertae Sedis	335	0	0	0	0	2	2	0	0	2	2	2	0	2	4	2	4	0	2	5	22	2	2	2	0	0	3	0	0	2	0	0	0	0	4	2	2	3	0	2	0	2	2	2	2	5	0	4	3	0	2	0	0	2	2	3	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	6	2	0	5	2	4	6	2	0	2	0	3	2	8	2	2	0	17	2	0	2	14	2	0	3	2	3	9	2	6	2	0	4	2	0	0	0	2	2	2	0	2	2	2	3	14	0	4	0	0	3	2
Fusobacteriaceae	14	0	0	0	0	0	0	0	0	0	0	0	0	0	14	5	3	0	3	9	134	2	3	4	0	0	3	0	2	2	4	0	0	0	3	0	0	0	0	2	0	6	2	2	3	2	0	7	0	0	0	0	0	0	0	0	0	0	0	0	2	0	7	0	0	0	0	0	0	0	0	0	18	0	0	5	0	6	11	2	0	0	0	2	0	4	0	2	0	23	0	0	0	13	0	0	15	0	0	7	2	2	0	0	6	0	0	0	0	2	0	0	0	0	6	0	2	2	0	0	0	0	0	0
Enterococcaceae	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sphingomonadaceae	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Porphyromonadaceae	3	0	2	0	0	0	0	0	2	2	6	2	4	3	6	3	8	0	7	6	29	45	3	2	3	2	4	2	0	0	2	0	0	0	18	2	5	27	2	6	2	7	21	2	30	14	3	201	2	0	0	0	0	7	2	2	0	0	0	0	10	0	3	0	3	2	2	0	0	0	3	0	241	5	0	155	0	4	10	9	0	2	0	2	2	5	2	3	2	34	5	2	12	11	5	11	12	2	5	13	2	2	2	2	77	2	0	0	2	7	0	2	0	2	2	21	12	8	2	5	0	0	8	3
Chromatiaceae	19	0	0	0	2	2	76	2	0	2	6	3	2	2	2	2	0	0	7	5	39	143	2	9	16	4	0	2	0	0	2	0	2	0	36	2	0	66	0	2	2	4	12	0	6	3	0	136	2	2	0	0	0	8	2	0	0	0	0	0	10	0	4	0	0	0	0	0	0	0	0	2	280	0	0	231	0	5	3	3	2	0	0	3	0	7	2	6	0	2	0	0	62	0	21	39	2	4	4	0	0	3	2	2	52	2	0	0	5	21	0	0	0	0	0	9	4	0	0	0	0	0	15	0
